Назва,Ціна,Зображення,Інструкція
Аспірин,50,aspirin.jpg,"Знижує біль, жар та запалення. Приймати по 1 таблетці кожні 4-6 годин."
Вітаміни C,120,vitamin_c.jpg,"Підтримує імунітет. Приймати 1 таблетку щодня після їжі."
Пластир,25,plaster.jpg,"Захищає рану від забруднень. Застосовувати на чисту шкіру."
Антибіотик,200,azytromicyn.jpg,"Призначений для лікування інфекцій. Приймати за вказівкою лікаря."
Нурофен,90,nurofen.jpg,"Знеболювальний та жарознижувальний засіб. Приймати по 1 таблетці кожні 8 годин після їжі."
Ібупрофен,80,ibuprofen.jpg,"Протизапальний та знеболювальний препарат. Приймати по 1-2 таблетки до 3 разів на день після їжі."
Спазмалгон,85,spazm.jpg,"Комбінований препарат для зняття болю та спазмів. Приймати по 1-2 таблетки 2-3 рази на день після їжі. Максимальна добова доза — 6 таблеток."
Валеріана,40,valer.jpg,"Седативний засіб для зниження нервової напруги. Приймати по 1-2 таблетки 2-3 рази на день."
Но-Шпа,70,noshpa.jpg,"Ефективний спазмолітик для зняття болю та спазмів. Приймати по 1-2 таблетки 2-3 рази на день. Максимальна добова доза — 6 таблеток."
Панкреатин,60,pank.jpg,"Засіб для покращення травлення. Приймати по 1-2 таблетки під час їжі, запиваючи водою. Дозування залежить від ступеня порушення травлення."